,Area_of_Origin,Business_Impact,Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Ext_agent_app_or_defer_time,Extent_Of_Fire,Fire_Alarm_System_Impact_on_Evacuation,Fire_Alarm_System_Operation,Fire_Under_Control_Time,Ignition_Source,Incident_Station_Area,Incident_Ward,Last_TFS_Unit_Clear_Time,lat,long,Material_First_Ignited,Method_Of_Fire_Control,Possible_Cause,Property_Use,Smoke_Alarm_at_Fire_Origin_Alarm_Failure,Smoke_Alarm_at_Fire_Origin_Alarm_Type,Status_of_Fire_On_Arrival,TFS_Alarm_Time,TFS_Arrival_Time,Fire_Alarm_System_Presence_(Refactored)
259,"Living Area (e.g. living, TV, recreation, etc)",No business interruption,0,1,50000,1,2013-12-14T21:44:59,Confined to part of room/area of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2013-12-14T21:44:59,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",324,30.0,2013-12-14T23:30:50,43.67029,-79.34127,"Upholstered Sofa, Chair, etc.",Extinguished by fire department,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,Remote from fire – smoke did not reach alarm,Not applicable - no smoke alarm or presence undetermined,Fire with no evidence from street,2013-12-14T21:30:59,2013-12-14T21:35:04,Present
260,Basement/cellar (not partitioned),No business interruption,1,1,25000,2,2016-04-17T18:24:06,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,2016-04-17T18:43:20,"Cord, Cable for Appliance, Electrical Articles",115,33.0,2016-04-17T21:02:46,43.78152,-79.34309,"Mattress, Pillow",Extinguished by fire department,Used or Placed too close to combustibles,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),"Fire with smoke showing only - including vehicle, outdoor fires",2016-04-17T18:15:32,2016-04-17T18:22:33,Present
261,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),1,1,300000,3,2017-07-30T03:44:00,Spread to entire room of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2017-07-30T03:54:00,Undetermined,345,18.0,2017-07-30T14:59:16,43.66244,-79.44855,Bedding,Extinguished by fire department,Improperly Discarded,Semi-Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2017-07-30T03:30:53,2017-07-30T03:36:22,Not applicable
262,Basement/cellar (not partitioned),No business interruption,1,1,40000,3,2015-11-22T16:05:33,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2015-11-22T16:15:45,Multiple Ignition Source or Igniting Equipment (suspected arson),145,10.0,2015-11-23T02:04:22,43.73583,-79.44672,Multiple Objects or Materials,Extinguished by fire department,Improper handling of ignition source or ignited material,Detached Dwelling,Other reason,Type undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2015-11-22T15:37:30,2015-11-22T15:43:19,No System
263,Porch or Balcony,No business interruption,0,1,50000,1,2017-06-05T16:05:25,"Spread to other floors, confined to building",Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system did not operate,2017-06-05T16:11:11,Undetermined,426,14.0,2017-06-05T21:56:05,43.64103,-79.43452,"Upholstered Sofa, Chair, etc.",Extinguished by fire department,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,Other reason,Type undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2017-06-05T15:56:29,2017-06-05T15:59:21,Present
264,Undetermined  (formerly 98),Undetermined,0,1,50000,1,2015-12-01T00:20:13,Confined to part of room/area of origin,Undetermined,Fire alarm system operation undetermined,2015-12-01T00:32:23,Undetermined,225,36.0,2015-12-01T11:01:26,43.68515,-79.28301,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2015-12-01T00:11:54,2015-12-01T00:16:18,Undetermined
265,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",No business interruption,0,1,25000,3,2017-06-18T21:35:00,Spread to entire room of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2017-06-18T21:40:00,Undetermined,225,35.0,2017-06-19T00:39:50,43.70322,-79.27952,"Mattress, Pillow",Extinguished by fire department,"Unintentional, cause undetermined",Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),"Fire with smoke showing only - including vehicle, outdoor fires",2017-06-18T21:22:38,2017-06-18T21:27:15,Present
266,"Living Area (e.g. living, TV, recreation, etc)",Not applicable (not a business),0,1,90000,0,2013-12-29T19:36:00,"Spread to other floors, confined to building","Not applicable: No fire alarm system, no persons present",Not applicable (no system),2013-12-29T19:40:00,Undetermined,445,3.0,2013-12-30T13:41:53,43.66491,-79.57025,Structural Member,Extinguished by fire department,Electrical Failure,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2013-12-29T19:20:32,2013-12-29T19:27:50,Not applicable
267,Cooking Area or Kitchen,No business interruption,1,1,5000,1,2013-12-25T08:42:00,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2013-12-25T08:42:00,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",222,35.0,2013-12-25T09:26:16,43.72741,-79.26592,Other,Extinguished by occupant,Undetermined,Multi-Unit Dwelling - Over 12 Units,Reason for inoperation undetermined,Battery operated,Fire extinguished prior to arrival,2013-12-25T08:35:54,2013-12-25T08:41:26,Present
268,Cooking Area or Kitchen,No business interruption,1,1,15000,1,2015-11-16T20:16:00,Confined to part of room/area of origin,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2015-11-16T20:08:40,"Stove, Range-top burner",442,11.0,2015-11-16T21:50:24,43.70779,-79.53363,"Cooking Oil, Grease",Extinguished by fire department,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire with no evidence from street,2015-11-16T19:52:14,2015-11-16T19:59:45,Present
269,Basement/cellar (not partitioned),Not applicable (not a business),4,1,500000,997,2012-11-29T00:07:00,"Spread to other floors, confined to building","Not applicable: No fire alarm system, no persons present",Not applicable (no system),2012-11-29T01:26:39,Undetermined,142,9.0,2012-11-29T10:46:27,43.74168,-79.50629,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Semi-Detached Dwelling,Other reason,Type undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2012-11-28T23:57:45,2012-11-29T00:03:12,No System
270,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),0,1,20000,0,2012-11-29T13:25:51,Spread to entire room of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2012-11-29T13:28:08,Other Appliances,142,8.0,2012-11-29T14:33:38,43.75419,-79.51371,"Paper, Cardboard",Extinguished by fire department,Used or Placed too close to combustibles,Detached Dwelling,Dead battery,Battery operated,Fire with no evidence from street,2012-11-29T13:17:01,2012-11-29T13:23:45,Not applicable
271,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),2,1,122300,4,2014-11-07T17:31:15,Spread to entire room of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2014-11-07T17:36:44,Candle,112,23.0,2014-11-08T11:02:59,43.77493,-79.44151,Multiple Objects or Materials,Extinguished by fire department,Unattended,Detached Dwelling,Other reason,Not applicable - no smoke alarm or presence undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2014-11-07T17:23:40,2014-11-07T17:28:03,No System
272,Porch or Balcony,Not applicable (not a business),0,1,10000,1,2014-11-09T08:27:00,Confined to part of room/area of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2014-11-09T08:45:58,Undetermined,322,29.0,2014-11-09T09:28:55,43.68797,-79.35087,"Fabric - Natural (eg. cotton, wool, etc.)",Extinguished by fire department,"Unintentional, cause undetermined",Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2014-11-09T08:17:42,2014-11-09T08:21:19,Present
273,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),2,1,35000,100,2012-12-12T18:30:00,Spread to entire room of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2012-12-12T18:34:59,Undetermined,426,14.0,2012-12-12T22:34:46,43.64084,-79.43541,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Multi-Unit Dwelling - Over 12 Units,Reason for inoperation undetermined,Type undetermined,Fire with no evidence from street,2012-12-12T18:22:55,2012-12-12T18:26:18,Present
274,"Living Area (e.g. living, TV, recreation, etc)",Not applicable (not a business),1,1,5000,1,2014-01-08T22:00:00,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2014-01-08T22:00:00,Other Appliances,235,31.0,2014-01-08T23:11:40,43.71614,-79.30546,Other,Extinguished by fire department,Electrical Failure,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire with no evidence from street,2014-01-08T21:50:48,2014-01-08T21:55:26,Present
275,"Living Area (e.g. living, TV, recreation, etc)",No business interruption,1,1,90000,2,2012-12-28T04:40:12,"Spread beyond room of origin, same floor",All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2012-12-28T05:06:03,Undetermined,333,28.0,2012-12-28T11:19:42,43.65282,-79.37161,"Upholstered Sofa, Chair, etc.",Extinguished by fire department,Undetermined,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire with no evidence from street,2012-12-28T04:27:41,2012-12-28T04:32:32,Present
276,"Washroom or Bathroom (toilet,restroom/locker room)",No business interruption,1,1,30000,1,2012-12-20T02:26:00,Multi unit bldg: spread beyond suite of origin but not to separated suite(s),Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2012-12-20T02:34:00,Undetermined,342,17.0,2012-12-20T05:14:07,43.67299,-79.441,Plastic,Extinguished by fire department,Undetermined,Multi-Unit Dwelling - 2 to 6 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,"Fire with smoke showing only - including vehicle, outdoor fires",2012-12-20T02:19:19,2012-12-20T02:23:26,Present
277,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),1,1,30000,0,2011-10-06T09:32:00,Spread to entire room of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2011-10-06T09:58:14,Undetermined,435,6.0,2011-10-06T11:23:04,43.59785,-79.50038,Undetermined (formerly 98),Extinguished by fire department,Undetermined,"Apartment, Flat, Tenement with Business",Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2011-10-06T09:17:21,2011-10-06T09:21:05,Present
278,"HVAC Equipment Room (furnace room, water heater closet, boiler)",Not applicable (not a business),1,1,300000,1,2014-01-16T09:47:29,"Spread to other floors, confined to building","Not applicable: No fire alarm system, no persons present",Not applicable (no system),2014-01-16T11:24:44,Central Heating/Cooling Unit,231,38.0,2014-01-17T11:25:56,43.7724,-79.23731,Interior Wall/Ceiling,Extinguished by fire department,Design/Construction/Installation/Maintenance Deficiency,Detached Dwelling,Reason for inoperation undetermined,Type undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2014-01-16T09:33:49,2014-01-16T09:38:28,Not applicable
279,"Living Area (e.g. living, TV, recreation, etc)",No business interruption,0,1,5000,1,2014-01-23T05:25:00,Confined to object of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2014-01-23T05:39:45,Undetermined,325,28.0,2014-01-23T06:14:13,43.65829,-79.37103,"Upholstered Sofa, Chair, etc.",Extinguished by fire department,"Unintentional, cause undetermined",Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire with no evidence from street,2014-01-23T05:15:47,2014-01-23T05:18:53,Present
280,Cooking Area or Kitchen,No business interruption,1,1,50000,1,2015-12-20T02:44:16,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2015-12-20T02:48:05,"Stove, Range-top burner",344,20.0,2015-12-20T05:21:58,43.66982,-79.40076,"Cooking Oil, Grease",Extinguished by fire department,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire with no evidence from street,2015-12-20T02:33:38,2015-12-20T02:37:14,Present
281,Cooking Area or Kitchen,Not applicable (not a business),0,1,100000,100,2011-10-28T04:26:06,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2011-10-28T04:34:22,Undetermined,235,37.0,2011-10-28T12:03:11,43.73466,-79.30676,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2011-10-28T04:16:53,2011-10-28T04:24:06,Not applicable
282,Cooking Area or Kitchen,No business interruption,0,1,100000,5,2014-11-28T13:42:03,Spread to entire room of origin,Undetermined,Fire alarm system operation undetermined,2014-11-28T13:44:03,Oven,214,44.0,2014-11-28T15:15:20,43.79765,-79.15385,Undetermined (formerly 98),Extinguished by fire department,Unattended,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2014-11-28T13:35:06,2014-11-28T13:41:04,Not applicable
